row_id,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
0,Brad_Zhaofang,Dighe,1977,Frankfurt,Defender,P.a.o.k_Fc,Tokyo,BMO_Field,2012,Xiaomin_Saoudi
1,Asis_Sinisa,Hennebert,1986,Elko,Midfield,Juventus,Salvador,BMO_Field,2010,Masum_Kasprzak
2,Bhuwan_Percy,Bouabdallah,1984,Guangzhou,Forward,Boavista_F.C.,Naples,Veltins-Arena,2015,Duckyoung_Padhye
3,Pierangela_Sudha,Tulley,1986,Greensboro,Goalkeeper,P.a.o.k_Fc,Brasilia,King_Power_Stadium,2012,Sreenivas_Wohr
4,Caryl_Moninder,Obermaier,1984,Warsaw,Forward,VfL_Wolfsburg,Solna,Allianz_Arena_Olympic_Stadium_Munich,2011,Atsufumi_Comparetto
5,Luitpold_Avra,Guyton,1981,Des,Goalkeeper,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
6,Ryoichi_Ilan,Togni,1992,Vienna,Forward,FK_Partizan,Orlando,White_Hart_Lane,2013,Ryouji_Dare
7,Zhili_Vinay,Molzberger,1981,Florence,Goalkeeper,Boavista_F.C.,Naples,Veltins-Arena,2013,Srikanth_Chimia
8,Maggie_Zhiqiang,Dabipi,1980,La,Defender,P.a.o.k_Fc,Munich,Allianz_Arena_Olympic_Stadium_Munich,2012,Sreenivas_Wohr
9,Guisseppi_Abdelmadjid,Newstead,1994,Istanbul,Midfield,Juventus,Salvador,BMO_Field,2012,IlYoung_Giese
10,Pitro_Melek,Poulin,1975,Buffalo,Midfield,FC_Kaiserslautern,Munich,Stadio_Olimpico,2012,Atsufumi_Comparetto
11,Nalvo_Shaygan,Handschuh,1996,Missoula,Defender,Boavista_F.C.,Naples,Veltins-Arena,2015,Duckyoung_Padhye
12,Maggie_Zhiqiang,Dabipi,1980,La,Defender,P.a.o.k_Fc,Munich,Allianz_Arena_Olympic_Stadium_Munich,2012,Sreenivas_Wohr
13,Gina_Kenta,Besancenot,1976,Mobile,Defender,Clube_de_Regatas_do_Flamengo,Rio_de_Janeiro,Stadio_Olimpico,2013,Jeremy_Cantu
14,Takenobu_Leighton,Derby,1989,Savannah,Defender,Juventus,Salvador,BMO_Field,2015,Sigenobu_Bodagala
15,Behcet_Liu,Tomii,1991,Myrtle,Defender,P.a.o.k_Fc,Munich,Allianz_Arena_Olympic_Stadium_Munich,2012,Sreenivas_Wohr
16,Rastislav_Stevo,Bellosta,1976,Cozumel,Midfield,The_New_Saints_F.C.,Arlington,Parc_des_Princes,2012,Mayan_Tautenhahn
17,Yannick_Ronald,Schwartzel,1977,South Africa,Forward,Aalborg_Boldspilklub,London,Anfield,2014,Rosangela_Ketz
18,Hongsing_Marla,Kubicka,1993,Barcelona,Goalkeeper,Montpellier_HSC,Recife,Stade_Velodrome,2013,Bernando_Jesus
19,Catherina_Loan,Kolvik,1980,Killeen,Defender,Forest_Green_Rovers_F.C.,Solna,Allianz_Arena_Olympic_Stadium_Munich,2012,Srikanth_Chimia
20,Yuka_Prakash,Hopewell,1991,Tallahassee,Forward,Boavista_F.C.,Hamburg,Estadio_da_Luz,2015,Duckyoung_Padhye
21,Surapol_Yechezkel,Noltemeier,1984,Reno,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Vagan_Smallwood
22,Gang_Vivekananda,Hofstetter,1983,Mobile,Midfield,FC_Midtjylland,Houston,Stade_Louis_II,2011,Mattan_Edelhoff
23,Antonius_Ard,Rikino,1975,Prague,Defender,Toronto_FC,Stuttgart,Camp_Nou,2014,Kazuhiko_Claybrook
24,Gang_Vivekananda,Hofstetter,1983,Mobile,Midfield,ACF_Fiorentina,Hamburg,King_Power_Stadium,2014,Aiqun_Levergood
25,Mazin_Emeka,Milicia,1989,New,Midfield,West_Ham_United_F.C.,Solna,Balaidos,2011,Jiangling_Micheaux
26,Jinsei_Ranjeev,Blix,1983,Cozumel,Midfield,Wolverhampton_Wanderers_Football_Club,Dortmund,Stadio_San_Paolo,2013,Sigenobu_Bodagala
27,Elie_Mart,Otillio,1982,Zihuatenejo,Defender,FC_Bayern_Munich,Seattle,San_Siro_Stadium,2015,Atsufumi_Comparetto
28,Tatuo_Bongki,Scofield,1992,Birmingham,Forward,S.C._Braga,Gelsenkirchen,Sporting_Park,2013,Shyamala_Gibbs
29,Matthey_Toshihisa,Bowhill,1983,Colorado,Midfield,ACF_Fiorentina,Hamburg,King_Power_Stadium,2013,Amandio_Klosowski
30,Abdalla_Susannne,Hoare,1982,Gulfport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
31,Jacob_Efthimis,Guoxing,1986,Appleton,Forward,A.C._Perugia_Calcio,Solna,Donbass_Arena,2014,Nabih_Rios
32,Osmar_Norton,Gove,1975,Paris,Defender,Clube_de_Regatas_do_Flamengo,Rio_de_Janeiro,Stadio_Olimpico,2011,Xiaolei_Ronchette
33,Daisy_Ryotaro,Felciano,1976,Milan,Midfield,Royal_Antwerp_F.C.,London,Santiago_Bernabeu_Stadium,2011,Rashi_Papadourakis
34,Sangjin_Martin,Sezan,1985,Lisbon,Defender,FC_Spartak_Moscow,Rio_de_Janeiro,Stadio_Olimpico,2012,Olavi_Gurd
35,Peteris_Yusuf,Maxson,1989,Tokyo,Midfield,ACF_Fiorentina,Hamburg,Estadio_da_Luz,2012,Atsuyuki_Jayaprakash
36,Sahrah_Kimon,Muluszynski,1991,Gainesville,Goalkeeper,Wolverhampton_Wanderers_Football_Club,Glasgow,Emirates_Stadium,2013,Sigenobu_Bodagala
37,Mehryar_Judi,Favre,1995,Amarillo,Midfield,VfL_Wolfsburg,Solna,Allianz_Arena_Olympic_Stadium_Munich,2011,Atsufumi_Comparetto
38,Yadran_Mechthild,Rayne,1983,South,Defender,New_York_Red_Bulls,Solna,Allianz_Arena_Olympic_Stadium_Munich,2011,Atsuyuki_Jayaprakash
39,Salim_Uday,Buttyan,1986,Beaumont,Goalkeeper,Valencia_CF,Stuttgart,Camp_Nou,2011,Veit_Luks
40,Ayal_Waeil,Haining,1981,Wichita,Goalkeeper,Toronto_FC,Stuttgart,Camp_Nou,2014,Kazuhiko_Claybrook
41,Shunge_Wop,Latch,1982,Guatemala,Forward,ACF_Fiorentina,Hamburg,King_Power_Stadium,2014,Aiqun_Levergood
42,Ezio_Roslyn,Grems,1987,Toronto,Midfield,Juventus,Salvador,BMO_Field,2010,Masum_Kasprzak
43,Fortune_Orestes,Waack,1989,Cape,Forward,Juventus,Salvador,BMO_Field,2010,Masum_Kasprzak
44,Takenobu_Leighton,Derby,1989,Savannah,Defender,Juventus,Salvador,BMO_Field,2015,Sigenobu_Bodagala
45,Michal_Boijdar,Yntema,1982,Beaumont,Midfield,Clube_de_Regatas_do_Flamengo,Rio_de_Janeiro,Stadio_Olimpico,2013,Jeremy_Cantu
46,Dongmyun_Samuel,Corvi,1991,Portland,Forward,Juventus_F.C.,Salvador,BMO_Field,2012,IlYoung_Giese
47,Catuscia_Ivo,Miles,1984,Guaymas,Defender,The_New_Saints_F.C.,Arlington,Parc_des_Princes,2012,Mayan_Tautenhahn
48,Guoren_Igino,Hudelmaier,1979,Santiago,Defender,Seattle_Sounders,Dortmund,Stadio_San_Paolo,2013,Nabih_Rios
49,Geraud_Pat,Sherratt,1976,Wilkes,Midfield,Boavista_F.C.,Naples,Veltins-Arena,2014,Torsten_Fedou
50,Sanjaya_Raed,Zabele,1996,Twin,Goalkeeper,FC_Anzhi_Makhachkala,Tokyo,BMO_Field,2013,Robert_Lally
51,Magne_Chihping,Jungst,1990,Durban,Midfield,Juventus,Salvador,BMO_Field,2010,Masum_Kasprzak
52,Steinar_Sathis,Brugnano,1987,Tokyo,Goalkeeper,S.C._Braga,Gelsenkirchen,Sporting_Park,2011,Anupam_Oxenboll
53,Yookun_Apostol,Benn,1984,Los,Midfield,Aalborg_Boldspilklub,London,Anfield,2014,Rosangela_Ketz
54,Yasubumi_Friedemann,Nobauer,1984,Louisville,Midfield,Juventus,Salvador,BMO_Field,2010,Masum_Kasprzak
55,Devina_Qutaibah,Schloegel,1997,Charleston,Goalkeeper,Royal_Antwerp_F.C.,London,Santiago_Bernabeu_Stadium,2011,Rashi_Papadourakis
56,Petko_Maogang,Usha,1986,Nice,Defender,FC_Kaiserslautern,Munich,Stadio_Olimpico,2012,Atsufumi_Comparetto
57,Alison_Pierdaniele,Knauff,1992,Mobile,Defender,FC_Spartak_Moscow,Istanbul,Jan_Breydel_Stadium,2011,Yki_Villano
